model,date_basis,date,n,pred_top1_ships,true_ships,gallery_day_count,gallery_day_fraction,pred_gallery_count_mean,pred_ship_max_day_fraction_mean,hit1,hit3,hit5,Score
quick_target100_trainonly_mel96_f16000,pred_top1_majority_date,2020-12-28,2,1,2,66.0,0.0364439536167863,49.0,0.4285714285714285,0.0,0.0,0.0,0.0
quick_target100_trainonly_mel96_f16000,pred_top1_majority_date,2021-01-02,2,1,2,28.0,0.0211640211640211,43.0,0.3023255813953488,0.0,0.0,0.0,0.0
quick_target100_trainonly_mel96_f16000,pred_top1_majority_date,2021-01-04,9,1,7,36.0,0.0272108843537414,36.0,0.3888888888888889,0.0,0.0,0.1111111111111111,0.022222222222222223
quick_target100_trainonly_mel96_f16000,pred_top1_majority_date,2021-01-08,5,2,5,206.0,0.1557067271352985,35.2,0.32676470588235296,0.0,0.0,0.0,0.0
quick_target100_trainonly_mel96_f16000,pred_top1_majority_date,2021-01-10,3,1,2,65.0,0.0491307634164777,39.0,0.1794871794871795,0.0,0.0,0.0,0.0
quick_target100_trainonly_mel96_f16000,pred_top1_majority_date,2021-01-16,1,1,1,44.0,0.0332577475434618,31.0,0.2258064516129032,0.0,0.0,0.0,0.0
quick_target100_trainonly_mel96_f16000,pred_top1_majority_date,2021-01-21,1,1,1,47.0,0.0355253212396069,141.0,0.2340425531914893,0.0,0.0,0.0,0.0
quick_target100_trainonly_mel96_f16000,pred_top1_majority_date,2021-01-31,3,1,2,47.0,0.0355253212396069,51.0,0.392156862745098,0.0,0.0,0.0,0.0
quick_target100_trainonly_mel96_f16000,pred_top1_majority_date,2021-02-01,6,1,5,55.0,0.06030701754385961,72.0,0.2777777777777778,0.0,0.0,0.16666666666666666,0.03333333333333333
quick_target100_trainonly_mel96_f16000,pred_top1_majority_date,2021-02-11,78,2,42,208.0,0.22807017543859642,22.41025641025641,0.8772106030170546,0.01282051282051282,0.038461538461538464,0.05128205128205128,0.028205128205128202
quick_target100_trainonly_mel96_f16000,pred_top1_majority_date,2021-02-12,16,2,14,139.0,0.1524122807017544,45.0,0.4828272772523643,0.0,0.0625,0.0625,0.03125
